Generation,Identifier,Finish,Storage,Model
,,White,64 GB,"MT3L2, MT2F2, MT312, MT482"
,,,128 GB,"MT3U2, MT2M2, MT372, MT4H2"
,,,256 GB,"MT412, MT2U2, MT3E2, MT4U2"
,,Yellow,64 GB,"MT3N2, MT2H2, MT332, MT4A2"
,,,128 GB,"MT3W2, MT2P2, MT392, MT4L2"
,,,256 GB,"MT442, MT2W2, MT3G2, MT4W2"
,,Black,64 GB,MRY42
,,,128 GB,MRY92
,,,256 GB,MRYJ2
,,Blue,64 GB,MRYA2
,,,128 GB,MRYH2
,,,256 GB,MRYQ2
,,Coral,64 GB,MRY82
,,,128 GB,MRYG2
,,,256 GB,MRYP2
,,PRODUCT(RED),64 GB,MRY62
,,,128 GB,MRYE2
,,,256 GB,MRYM2
,,White,64 GB,MRY52
,,,128 GB,MRYD2
,,,256 GB,MRYL2
,,Yellow,64 GB,MRY72
,,,128 GB,MRYF2
,,,256 GB,MRYN2
,,Black,64 GB,MT002
,,,128 GB,MT0G2
,,,256 GB,MT0V2
,,Blue,64 GB,MT0E2
,,,128 GB,MT0U2
,,,256 GB,MT112
,,Coral,64 GB,MT0A2
,,,128 GB,MT0T2
,,,256 GB,MT102
,,PRODUCT(RED),64 GB,MT062
,,,128 GB,MT0N2
,,,256 GB,MT0X2
,,White,64 GB,MT032
,,,128 GB,MT0J2
,,,256 GB,MT0W2
,,Yellow,64 GB,MT082
,,,128 GB,MT0Q2
,,,256 GB,MT0Y2
,,Black,64 GB,MT122
,,,128 GB,MT192
,,,256 GB,MT1H2
,,Blue,64 GB,MT182
,,,128 GB,MT1G2
,,,256 GB,MT1Q2
,,Coral,64 GB,MT172
,,,128 GB,MT1F2
,,,256 GB,MT1P2
,,PRODUCT(RED),64 GB,MT142
,,,128 GB,MT1D2
,,,256 GB,MT1L2
,,White,64 GB,MT132
,,,128 GB,MT1A2
,,,256 GB,MT1J2
,,Yellow,64 GB,MT162
,,,128 GB,MT1E2
,,,256 GB,MT1M2
iPhone XS,"iPhone11,2",Gold,64 GB,"MT8W2, MTA22, MT8L2, MTAJ2, MT962"
,,,256 GB,"MT902, MTA92, MT8P2, MTAQ2, MT992"
,,,512 GB,"MT932, MTAF2, MT8T2, MTAV2, MT9D2"
,,Silver,64 GB,"MT8V2, MTA12, MT8K2, MTAH2, MT952"
,,,256 GB,"MT8Y2, MTA82, MT8N2, MTAN2, MT982"
,,,512 GB,"MT922, MTAD2, MT8R2, MTAU2, MT9C2"
,,Space Gray,64 GB,"MT8U2, MTA02, MT8J2, MTAG2, MT942"
,,,256 GB,"MT8X2, MTA72, MT8M2, MTAL2, MT972"
,,,512 GB,"MT912, MTAA2, MT8Q2, MTAR2, MT9A2"
,,Gold,64 GB,MT9G2
,,,256 GB,MT9K2
,,,512 GB,MT9N2
,,Silver,64 GB,MT9F2
,,,256 GB,MT9J2
,,,512 GB,MT9M2
